MENSAGEM	Translation	Positive	Negative	EmotionRationale
o unico site achar relacionar preço á razão	o unico site achar relacionar preço á razão	1	-1	 o[0] unico[0] site[0] achar[0] relacionar[0] preço[0] á[0] razão[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
vir o	vir o	1	-1	 vir[0] o[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
escalar razão utilizar o pretender   comparar medir absoluto o comparação proporção útil parir medir variável comer idade preço consumidor volumar vender e render familiar	escalar razão utilizar o pretender   comparar medir absoluto o comparação proporção útil parir medir variável comer idade preço consumidor volumar vender e render familiar	2	-1	 escalar[0] razão[0] utilizar[0] o[0] pretender[0] comparar[0] medir[0] absoluto[0] o[0] comparação[0] proporção[0] útil[1] parir[0] medir[0] variável[0] comer[0] idade[0] preço[0] consumidor[0] volumar[0] vender[0] e[0] render[0] familiar[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
confuso pra pora	confuso pra pora	1	-1	 confuso[0] pra[0] pora[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o pdf professor	o pdf professor	1	-1	 o[0] pdf[0] professor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nao nivel razão ne	nao nivel razão ne	1	-1	 nao[0] nivel[0] razão[0] ne[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
achar nado sobrar	achar nado sobrar	1	-1	 achar[0] nado[0] sobrar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
caro pesar entrar	caro pesar entrar	1	-2	 caro[-1] pesar[-1] entrar[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
pq preço nao entrar	pq preço nao entrar	1	-1	 pq[0] preço[0] nao[0] entrar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
b e e	b e e	1	-1	 b[0] e[0] e[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pessoa	pessoa	1	-1	 pessoa[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
achar o livrar espanhol	achar o livrar espanhol	1	-2	 achar[0] o[0] livrar[-1] espanhol[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ahseufhaeusfhau	ahseufhaeusfhau	1	-1	 ahseufhaeusfhau[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hmmmmmm	hm	2	-1	 hmmmmmm/hm[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
justar	justar	1	-1	 justar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o paginar	o paginar	1	-1	 o[0] paginar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o	o	1	-1	 o[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pdf	pdf	1	-1	 pdf[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
el nivel medición razón	el nivel medición razón	1	-1	 el[0] nivel[0] medición[0] razón[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dem ctrl f el nivel medición razón	dem ctrl f el nivel medición razón	1	-1	 dem[0] ctrl[0] f[0] el[0] nivel[0] medición[0] razón[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
comer citar preço e peso	comer citar preço e peso	1	-1	 comer[0] citar[0] preço[0] e[0] peso[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nao o livrar ta certar ....... parecer	nao o livrar ta certar .<br> parecer	1	-2	 nao[0] o[0] livrar[-1] ta[0] certar[0] [[Sentence=-2,1=word max, 1-5]] parecer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
votar o b e e	votar o b e e	1	-1	 votar[0] o[0] b[0] e[0] e[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
foulda	foulda	1	-1	 foulda[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
entao beleza	entao beleza	1	-1	 entao[0] beleza[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
b e e	b e e	1	-1	 b[0] e[0] e[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fechar	fechar	1	-1	 fechar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
responder	responder	1	-1	 responder[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pronto	pronto	1	-1	 pronto[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o	o	1	-1	 o[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ooo	oo	1	-1	 ooo/oo[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o/	o/	1	-1	 o/[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
falto o renan	falto o renan	1	-1	 falto[0] o[0] renan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to gente	to gente	1	-1	 to[0] gente[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
alterar	alterar	1	-1	 alterar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pelar celular complicar manir	pelar celular complicar manir	1	-2	 pelar[0] celular[0] complicar[-1] manir[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
crer	crer	1	-1	 crer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
complicar	complicar	1	-2	 complicar[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
o fórmula	o fórmula	1	-1	 o[0] fórmula[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o e	o e	1	-1	 o[0] e[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ouuuu	ou	2	-1	 ouuuu/ou[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
o inicial variância	o inicial variância	1	-1	 o[0] inicial[0] variância[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lembrar o	lembrar o	1	-1	 lembrar[0] o[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nó acesso idade funcionário	nó acesso idade funcionário	1	-1	 nó[0] acesso[0] idade[0] funcionário[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o variância inicial certar	o variância inicial certar	1	-1	 o[0] variância[0] inicial[0] certar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o idade entrar e	o idade entrar e	1	-1	 o[0] idade[0] entrar[0] e[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o desviar padrão	o desviar padrão	1	-2	 o[0] desviar[-1] padrão[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
alterar	alterar	1	-1	 alterar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o variação entrar valorar	o variação entrar valorar	1	-1	 o[0] variação[0] entrar[0] valorar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o outro idade alterar	o outro idade alterar	1	-1	 o[0] outro[0] idade[0] alterar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
e	e	1	-1	 e[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
vc tá falar desviar padrão variância	vc tá falar desviar padrão variância	1	-2	 vc[0] tá[0] falar[0] desviar[-1] padrão[-1] variância[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
alterar o	alterar o	1	-1	 alterar[0] o[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
variância	variância	1	-1	 variância[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pqp tava o calcular desviar padrao	pqp tava o calcular desviar padrao	1	-2	 pqp[0] tava[0] o[0] calcular[0] desviar[-1] padrao[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ah eh so elevar o o quadrar	ah eh so elevar o o quadrar	1	-1	 ah[0] eh[0] so[0] elevar[0] o[0] o[0] quadrar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pra mim alterar algum	pra mim alterar algum	1	-1	 pra[0] mim[0] alterar[0] algum[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
conjuntar o variância umar medir dispersão mostrar o quão distante d conjuntar central médio	conjuntar o variância umar medir dispersão mostrar o quão distante d conjuntar central médio	1	-1	 conjuntar[0] o[0] variância[0] umar[0] medir[0] dispersão[0] mostrar[0] o[0] quão[0] distante[0] d[0] conjuntar[0] central[0] médio[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
simples	simples	1	-2	 simples[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
aaa	a	2	-1	 aaa/a[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
ta estranhar pq o distribuição salário alterar o dividir funcionário pra alterar	ta estranhar pq o distribuição salário alterar o dividir funcionário pra alterar	1	-1	 ta[0] estranhar[0] pq[0] o[0] distribuição[0] salário[0] alterar[0] o[0] dividir[0] funcionário[0] pra[0] alterar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
teoricamente	teoricamente	1	-1	 teoricamente[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o irar alterar o médio	o irar alterar o médio	1	-1	 o[0] irar[0] alterar[0] o[0] médio[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gente ... o 5,42 o	gente .<br> o 5,42 o	1	-1	 gente[0] [[Sentence=-1,1=word max, 1-5]] o[0] 5[0] ,42[0] o[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o-o	o-o	1	-1	 o[0] o[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o contar 4,8	o contar 4,8	1	-1	 o[0] contar[0] 4[0] ,8[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
achar	achar	1	-1	 achar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
comer o cálculo vcs	comer o cálculo vcs	1	-1	 comer[0] o[0] cálculo[0] vcs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
marcar o	marcar o	1	-1	 marcar[0] o[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fórmula vc passar	fórmula vc passar	1	-1	 fórmula[0] vc[0] passar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
marcar o	marcar o	1	-1	 marcar[0] o[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
exato	exato	1	-1	 exato[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
confiar o irineu	confiar o irineu	1	-1	 confiar[0] o[0] irineu[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
15,2 x	15,2 x	2	-1	 15[0] ,2[0] x[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
x	x	2	-1	 x[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
entao o resultar seriar	entao o resultar seriar	1	-1	 entao[0] o[0] resultar[0] seriar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bora letra o	bora letra o	1	-1	 bora[0] letra[0] o[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o sentir	o sentir	1	-1	 o[0] sentir[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nao	nao	1	-1	 nao[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
  o	  o	1	-1	 o[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
si fouda	si fouda	1	-1	 si[0] fouda[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o medir alterar o variante salariar precisar aumentar proporcionalmente o salariar	o medir alterar o variante salariar precisar aumentar proporcionalmente o salariar	1	-1	 o[0] medir[0] alterar[0] o[0] variante[0] salariar[0] precisar[0] aumentar[0] proporcionalmente[0] o[0] salariar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
responder letra o	responder letra o	1	-1	 responder[0] letra[0] o[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bora	bora	1	-1	 bora[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pra alteração	pra alteração	1	-1	 pra[0] alteração[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
vc 15,2	vc 15,2	1	-1	 vc[0] 15[0] ,2[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rodrigar	rodrigar	1	-1	 rodrigar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ja mandar o foto	ja mandar o foto	1	-1	 ja[0] mandar[0] o[0] foto[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mear logica rodrigar	mear logica rodrigar	1	-1	 mear[0] logica[0] rodrigar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nao viado ahsufhasuehfuase	nao viado ahsufhasuehfuase	1	-1	 nao[0] viado[0] ahsufhasuehfuase[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
achar	achar	1	-1	 achar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
vey pensar comigo aumentar o numerar funcionarios alterar o medir idade alterar o distribuição salariar	vey pensar comigo aumentar o numerar funcionarios alterar o medir idade alterar o distribuição salariar	1	-1	 vey[0] pensar[0] comigo[0] aumentar[0] o[0] numerar[0] funcionarios[0] alterar[0] o[0] medir[0] idade[0] alterar[0] o[0] distribuição[0] salariar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
.. o problema achar qto	.<br> o problema achar qto	1	-2	 o[0] problema[-1] achar[0] qto[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
enfim ... bora questao	enfim .<br> bora questao	1	-1	 enfim[0] [[Sentence=-1,1=word max, 1-5]] bora[0] questao[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o á lógico o iriar mudar	o á lógico o iriar mudar	1	-1	 o[0] á[0] lógico[0] o[0] iriar[0] mudar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
aumentar membro 4,8 diferençar distribuição salariar kkk cabeca casar	aumentar membro 4,8 diferençar distribuição salariar k cabeca casar	2	-1	 aumentar[0] membro[0] 4[0] ,8[0] diferençar[0] distribuição[0] salariar[0] kkk/k[0][+0.6 MultipleLetters] cabeca[0] casar[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
umar diferençar pequeno	umar diferençar pequeno	1	-1	 umar[0] diferençar[0] pequeno[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o seriar justar	o seriar justar	1	-1	 o[0] seriar[0] justar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
blz	blz	1	-1	 blz[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to calcular d	to calcular d	1	-1	 to[0] calcular[0] d[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o medir quantum	o medir quantum	1	-1	 o[0] medir[0] quantum[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
pfvr	pfvr	1	-1	 pfvr[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
12,54	12,54	1	-1	 12[0] ,54[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
12,54	12,54	1	-1	 12[0] ,54[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
desviar padrão 2.7	desviar padrão 2.7	1	-2	 desviar[-1] padrão[-1] 2[0] .7[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
mintiiira	mintira	2	-1	 mintiiira/mintira[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
o 1,759	o 1,759	1	-1	 o[0] 1[0] ,759[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o variação	o variação	1	-1	 o[0] variação[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o 1,76	o 1,76	1	-1	 o[0] 1[0] ,76[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o 1,76 tbm	o 1,76 tbm	1	-1	 o[0] 1[0] ,76[0] tbm[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
variancia 3,096	variancia 3,096	1	-1	 variancia[0] 3[0] ,096[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
c e d	c e d	1	-1	 c[0] e[0] d[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
c e d	c e d	1	-1	 c[0] e[0] d[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tb	tb	1	-1	 tb[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
3,09598	3,09598	1	-1	 3[0] ,09598[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gente .. excel eh tao lindar ne	gente .<br> excel eh tao lindar ne	1	-1	 gente[0] [[Sentence=-1,1=word max, 1-5]] excel[0] eh[0] tao[0] lindar[0] ne[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so resolver	so resolver	1	-1	 so[0] resolver[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
voar pai	voar pai	1	-1	 voar[0] pai[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
c e d	c e d	1	-1	 c[0] e[0] d[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fechar	fechar	1	-1	 fechar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
responder	responder	1	-1	 responder[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tbm	tbm	1	-1	 tbm[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to	to	1	-1	 to[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
eita min rstantes	eita min rstantes	1	-1	 eita[0] min[0] rstantes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cade vcs	cade vcs	1	-1	 cade[0] vcs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
puts vir começar	puts vir começar	1	-1	 puts[0] vir[0] começar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
q merda	q merda	1	-2	 q[0] merda[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
b	b	1	-1	 b[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
c	c	1	-1	 c[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
achar	achar	1	-1	 achar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
blz	blz	1	-1	 blz[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o d o escorar acima médio abaixar	o d o escorar acima médio abaixar	1	-1	 o[0] d[0] o[0] escorar[0] acima[0] médio[0] abaixar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
caro	caro	1	-2	 caro[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
aparecer o respostar ja	aparecer o respostar ja	1	-1	 aparecer[0] o[0] respostar[0] ja[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sera ruim	sera ruim	1	-2	 sera[0] ruim[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
o	o	1	-1	 o[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
v repondeu k	v repondeu k	1	-1	 v[0] repondeu[0] k[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
b e c	b e c	1	-1	 b[0] e[0] c[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
puts	puts	1	-1	 puts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sera qu problema	sera qu problema	1	-2	 sera[0] qu[0] problema[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
esperar o nunes	esperar o nunes	1	-1	 esperar[0] o[0] nunes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to mandar pra o whats entrar	to mandar pra o whats entrar	1	-1	 to[0] mandar[0] pra[0] o[0] whats[0] entrar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ta	ta	1	-1	 ta[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
qualuer o gente falir o prof	qualuer o gente falir o prof	1	-1	 qualuer[0] o[0] gente[0] falir[0] o[0] prof[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ooi	ooi	1	-1	 ooi[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o ja	o ja	1	-1	 o[0] ja[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
voces sao rapidos	voces sao rapidos	1	-1	 voces[0] sao[0] rapidos[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jhonson 1,667	jhonson 1,667	1	-1	 jhonson[0] 1[0] ,667[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
oneal 1,52	oneal 1,52	1	-1	 oneal[0] 1[0] ,52[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
correger	correger	1	-1	 correger[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
caravc rapido	caravc rapido	1	-1	 caravc[0] rapido[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
frexe	frexe	1	-1	 frexe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
z x-média)/desvio padrão	z x-média)/desvio padrão	2	-2	 z[0] x[1] média[0] )/desvio[0] padrão[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
kkkkk	k	2	-1	 kkkkk/k[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
dfrexe	dfrexe	1	-1	 dfrexe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
voce certar d ma oe	voce certar d ma oe	1	-1	 voce[0] certar[0] d[0] ma[0] oe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
c	c	1	-1	 c[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
oi	oi	1	-1	 oi[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
renan ta bugao	renan ta bugao	1	-1	 renan[0] ta[0] bugao[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
oi	oi	1	-1	 oi[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cair o net maravilhar	cair o net maravilhar	1	-1	 cair[0] o[0] net[0] maravilhar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ihu	ihu	1	-1	 ihu[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o c	o c	1	-1	 o[0] c[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
c	c	1	-1	 c[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
c	c	1	-1	 c[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
responder	responder	1	-1	 responder[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tambem	tambem	1	-1	 tambem[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tambem	tambem	1	-1	 tambem[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
l	l	1	-1	 l[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
e	e	1	-1	 e[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
t	t	1	-1	 t[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
r	r	1	-1	 r[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
o	o	1	-1	 o[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
c	c	1	-1	 c[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
